PP,C,Condition,timestamp,HR,RMSSD,SCL,,,,,
PP2,1,N,20120919T134400000,78,0.035925,82.478524,,,,,
PP2,1,N,20120919T134500000,77,0.037728,81.782772,,,,,
PP2,1,N,20120919T134600000,74,0.037997,79.930828,,,,,
PP2,1,N,20120919T134700000,77,0.033732,80.971084,,,,,
PP2,1,N,20120919T134800000,75,0.033192,79.607103,,,,,
PP2,1,N,20120919T134900000,77,0.03947,78.999275,,,,,
PP2,1,N,20120919T135000000,75,0.033667,81.424595,,,,,
PP2,1,N,20120919T135100000,77,0.032281,82.492451,,,,,
PP2,1,N,20120919T135200000,75,0.04498,82.142825,,,,,
PP2,1,N,20120919T135300000,76,0.037443,79.375762,,,,,
PP2,1,N,20120919T135400000,78,0.032284,79.279167,,,,,
PP2,1,N,20120919T135500000,75,0.03767,79.270753,,,,,
PP2,1,N,20120919T135600000,78,0.027502,81.628947,,,,,
PP2,1,N,20120919T135700000,79,0.031294,86.806251,,,,,
PP2,1,N,20120919T135800000,77,0.036673,83.867194,,,,,
PP2,1,N,20120919T135900000,77,0.030816,87.890192,,,,,
PP2,1,N,20120919T140000000,76,0.039981,86.563433,,,,,
PP2,1,N,20120919T140100000,77,0.027315,80.196501,,,,,
PP2,1,N,20120919T140200000,73,0.034171,82.948308,,,,,
PP2,1,N,20120919T140300000,77,0.028151,85.388049,,,,,
PP2,1,N,20120919T140400000,82,0.032093,80.383115,,,,,
PP2,2,R,20120919T142300000,71,0.041329,77.021586,,,,,
PP2,2,R,20120919T142400000,71,0.051416,77.258013,,,,,
PP2,2,R,20120919T142500000,71,0.050105,80.201418,,,,,
PP2,2,R,20120919T142600000,68,0.057925,80.710463,,,,,
PP2,2,R,20120919T142700000,64,0.059094,80.41568,,,,,
PP2,2,R,20120919T142800000,67,0.047797,81.837074,,,,,
PP2,2,I,20120919T143100000,73,0.038174,72.198135,,,,,
PP2,2,I,20120919T143200000,999,999,72.026007,,,,,
PP2,2,I,20120919T143300000,72,0.040438,76.075236,,,,,
PP2,2,I,20120919T143400000,72,0.040993,78.408882,,,,,
PP2,2,I,20120919T143500000,71,0.044294,79.35849,,,,,
PP2,2,I,20120919T143600000,70,0.044962,78.05754,,,,,
PP2,2,I,20120919T143700000,71,0.043413,76.62268,,,,,
PP2,2,I,20120919T143800000,70,0.047179,71.201226,,,,,
PP2,2,I,20120919T143900000,72,0.062629,66.956192,,,,,
PP2,2,I,20120919T144000000,70,0.062322,68.875636,,,,,
PP2,2,I,20120919T144100000,73,0.040026,72.470426,,,,,
PP2,2,I,20120919T144200000,70,0.040215,71.254167,,,,,
PP2,2,I,20120919T144300000,75,0.044917,73.948255,,,,,
PP2,2,I,20120919T144400000,70,0.046515,75.459191,,,,,
PP2,2,I,20120919T144500000,70,0.048891,76.136057,,,,,
PP2,2,I,20120919T144600000,72,0.043363,75.075023,,,,,
PP2,2,I,20120919T144700000,72,0.03776,76.04336,,,,,
PP2,2,I,20120919T144800000,77,0.044227,68.712449,,,,,
PP2,2,I,20120919T144900000,69,0.06224,66.55641,,,,,
PP2,2,I,20120919T145000000,72,0.208562,72.858373,,,,,
PP2,2,I,20120919T145100000,73,0.044947,70.846833,,,,,
PP2,2,I,20120919T145200000,73,0.045453,72.010384,,,,,
PP2,2,I,20120919T145300000,71,0.046623,71.899274,,,,,
PP2,2,I,20120919T145400000,73,0.062958,75.623916,,,,,
PP2,2,I,20120919T145500000,76,0.035866,76.221469,,,,,
PP2,2,I,20120919T145600000,76,0.104477,70.096096,,,,,
PP2,2,I,20120919T145700000,74,0.038564,72.528241,,,,,
PP2,2,I,20120919T145800000,74,0.040686,71.385667,,,,,
PP2,2,I,20120919T145900000,73,0.040667,73.868717,,,,,
PP2,2,I,20120919T150000000,78,0.036592,74.507057,,,,,
PP2,2,I,20120919T150100000,73,0.046578,74.877249,,,,,
PP2,2,I,20120919T150200000,73,0.043012,72.965508,,,,,
PP2,2,I,20120919T150300000,78,0.044479,74.886976,,,,,
PP2,2,I,20120919T150400000,73,0.047956,72.828955,,,,,
PP2,2,I,20120919T150500000,75,0.104787,74.448801,,,,,
PP2,3,R,20120919T151900000,67,0.068146,69.470224,,,,,
PP2,3,R,20120919T152000000,70,0.057659,69.579728,,,,,
PP2,3,R,20120919T152100000,71,0.044321,68.579256,,,,,
PP2,3,R,20120919T152200000,73,0.049355,67.828188,,,,,
PP2,3,R,20120919T152300000,74,0.054256,67.429741,,,,,
PP2,3,R,20120919T152400000,69,0.047731,66.435854,,,,,
PP2,3,T,20120919T152900000,70,0.039786,69.390352,,,,,
PP2,3,T,20120919T153000000,74,0.043904,70.366126,,,,,
PP2,3,T,20120919T153100000,72,0.034822,73.094801,,,,,
PP2,3,T,20120919T153200000,75,0.030439,74.694715,,,,,
PP2,3,T,20120919T153300000,74,0.033978,73.488512,,,,,
PP2,3,T,20120919T153400000,74,0.040201,71.099892,,,,,
PP2,3,T,20120919T153500000,73,0.030558,66.359252,,,,,
PP2,3,T,20120919T153600000,74,0.032785,70.066866,,,,,
PP2,3,T,20120919T153700000,76,0.031177,68.394707,,,,,
PP2,3,T,20120919T153800000,76,0.034023,60.437899,,,,,
PP2,3,T,20120919T153900000,73,0.034194,61.921627,,,,,
PP2,3,T,20120919T154000000,71,0.036183,64.071425,,,,,
PP2,3,T,20120919T154100000,72,0.035395,66.602406,,,,,
PP2,3,T,20120919T154200000,80,0.026806,67.429307,,,,,
PP2,3,T,20120919T154300000,76,0.038412,68.987917,,,,,
PP2,3,T,20120919T154400000,75,0.034327,65.346115,,,,,
PP2,3,T,20120919T154500000,76,0.033755,64.01371,,,,,
PP2,3,T,20120919T154600000,74,0.035366,66.658916,,,,,
PP2,3,T,20120919T154700000,75,0.035337,66.351349,,,,,
PP2,3,T,20120919T154800000,77,0.030453,68.120461,,,,,
PP2,3,T,20120919T154900000,77,0.031581,65.183289,,,,,
PP2,3,T,20120919T155000000,77,0.035006,66.997367,,,,,
PP2,3,T,20120919T155100000,77,0.031424,65.672872,,,,,
PP2,3,T,20120919T155200000,81,0.043998,66.54317,,,,,
PP3,1,R,20120924T132400000,999,999,192.8434,,,,,
PP3,1,R,20120924T132500000,999,999,204.37371,,,,,
PP3,1,R,20120924T132600000,999,999,238.910548,,,,,
PP3,1,R,20120924T132700000,999,999,251.315435,,,,,
PP3,1,R,20120924T132800000,999,999,264.242504,,,,,
PP3,1,R,20120924T132900000,999,999,356.389347,,,,,
PP3,1,N,20120924T133300000,999,999,140.929851,,,,,
PP3,1,N,20120924T133400000,999,999,137.688133,,,,,
PP3,1,N,20120924T133500000,999,999,144.762284,,,,,
PP3,1,N,20120924T133600000,999,999,153.631528,,,,,
PP3,1,N,20120924T133700000,999,999,162.553611,,,,,
PP3,1,N,20120924T133800000,999,999,163.773092,,,,,
PP3,1,N,20120924T133900000,999,999,156.227583,,,,,
PP3,1,N,20120924T134000000,999,999,161.230496,,,,,
PP3,1,N,20120924T134100000,999,999,169.833681,,,,,
PP3,1,N,20120924T134200000,999,999,190.790868,,,,,
PP3,1,N,20120924T134300000,999,999,170.6088,,,,,
PP3,1,N,20120924T134400000,999,999,163.878061,,,,,
PP3,1,N,20120924T134500000,999,999,167.068421,,,,,
PP3,1,N,20120924T134600000,999,999,164.763602,,,,,
PP3,1,N,20120924T134700000,999,999,163.206787,,,,,
PP3,1,N,20120924T134800000,999,999,170.354807,,,,,
PP3,1,N,20120924T134900000,999,999,164.937634,,,,,
PP3,1,N,20120924T135000000,999,999,164.768025,,,,,
PP3,1,N,20120924T135100000,999,999,162.130009,,,,,
PP3,1,N,20120924T135200000,999,999,160.520056,,,,,
PP3,1,N,20120924T135300000,999,999,153.065428,,,,,
PP3,1,N,20120924T135400000,999,999,139.505305,,,,,
PP3,1,N,20120924T135500000,999,999,144.763071,,,,,
PP3,1,N,20120924T135600000,999,999,142.435752,,,,,
PP3,1,N,20120924T135700000,999,999,136.983459,,,,,
PP3,1,N,20120924T135800000,999,999,138.06978,,,,,
PP3,1,N,20120924T135900000,999,999,131.20947,,,,,
PP3,1,N,20120924T140000000,999,999,139.356109,,,,,
PP3,1,N,20120924T140100000,999,999,136.933548,,,,,
PP3,1,N,20120924T140200000,999,999,140.160275,,,,,
PP3,1,N,20120924T140300000,999,999,141.590949,,,,,
PP3,1,N,20120924T140400000,999,999,999,,added,,,
PP3,1,N,20120924T140500000,999,999,999,,added,,,
PP3,1,N,20120924T140600000,999,999,999,,added,,,
PP3,1,N,20120924T140700000,999,999,999,,added,,,
PP3,1,N,20120924T140800000,999,999,999,,added,,,
PP3,1,N,20120924T140900000,999,999,999,,added,,,
PP3,1,N,20120924T141000000,999,999,999,,added,,,
PP3,1,N,20120924T141100000,999,999,999,,added,,,
PP3,1,N,20120924T112700000,999,999,999,,added,,,
PP3,2,R,20120924T142800000,83,0.039887,128.450713,,,,,
PP3,2,R,20120924T142900000,75,0.033689,124.908555,,,,,
PP3,2,R,20120924T143000000,81,0.037887,136.413935,,,,,
PP3,2,R,20120924T143100000,75,0.029401,141.690368,,,,,
PP3,2,R,20120924T143200000,999,999,146.325787,,,,,
PP3,2,R,20120924T143300000,72,0.064253,137.666137,,,,,
PP3,2,T,20120924T143700000,87,0.03499,119.391844,,,,,
PP3,2,T,20120924T143800000,88,0.039107,122.700692,,,,,
PP3,2,T,20120924T143900000,999,999,130.768786,,,,,
PP3,2,T,20120924T144000000,90,0.031483,129.490059,,,,,
PP3,2,T,20120924T144100000,90,0.046118,132.434401,,,,,
PP3,2,T,20120924T144200000,999,999,123.055207,,,,,
PP3,2,T,20120924T144300000,999,999,142.64471,,,,,
PP3,2,T,20120924T144400000,999,999,128.380599,,,,,
PP3,2,T,20120924T144500000,999,999,124.807081,,,,,
PP3,2,T,20120924T144600000,999,999,129.755445,,,,,
PP3,2,T,20120924T144700000,96,0.025233,125.897485,,,,,
PP3,2,T,20120924T144800000,105,0.016838,119.155523,,,,,
PP3,2,T,20120924T144900000,100,0.054563,122.313243,,,,,
PP3,2,T,20120924T145000000,107,0.017332,128.875107,,,,,
PP3,2,T,20120924T145100000,99,0.050246,134.58468,,,,,
PP3,2,T,20120924T145200000,102,0.094105,129.258755,,,,,
PP3,2,T,20120924T145300000,999,999,133.403939,,,,,
PP3,2,T,20120924T145400000,999,999,116.47637,,,,,
PP3,2,T,20120924T145500000,999,999,119.436115,,,,,
PP3,2,T,20120924T145600000,999,999,120.251942,,,,,
PP3,2,T,20120924T145700000,105,0.091713,118.821358,,,,,
PP3,2,T,20120924T145800000,999,999,124.897267,,,,,
PP3,2,T,20120924T145900000,999,999,126.926096,,,,,
PP3,2,T,20120924T150000000,97,0.060174,118.678073,,,,,
PP3,2,T,20120924T150100000,999,999,116.656147,,,,,
PP3,2,T,20120924T150200000,999,999,115.450248,,,,,
PP3,2,T,20120924T150300000,999,999,110.479623,,,,,
PP3,3,R,20120924T152200000,999,999,142.464299,,,,,
PP3,3,R,20120924T152300000,999,999,144.143623,,,,,
PP3,3,R,20120924T152400000,999,999,161.276845,,,,,
PP3,3,R,20120924T152500000,999,999,154.942645,,,,,
PP3,3,R,20120924T152600000,999,999,148.928437,,,,,
PP3,3,R,20120924T152700000,999,999,143.735773,,,,,
PP3,3,I,20120924T153000000,999,999,155.80786,,,,,
PP3,3,I,20120924T153100000,999,999,158.845521,,,,,
PP3,3,I,20120924T153200000,999,999,141.12559,,,,,
PP3,3,I,20120924T153300000,999,999,131.921308,,,,,
PP3,3,I,20120924T153400000,999,999,140.235341,,,,,
PP3,3,I,20120924T153500000,999,999,149.879523,,,,,
PP3,3,I,20120924T153600000,88,0.038108,147.114384,,,,,
PP3,3,I,20120924T153700000,999,999,140.619761,,,,,
PP3,3,I,20120924T153800000,999,999,164.144106,,,,,
PP3,3,I,20120924T153900000,999,999,143.72437,,,,,
PP3,3,I,20120924T154000000,999,999,164.688164,,,,,
PP3,3,I,20120924T154100000,999,999,165.290182,,,,,
PP3,3,I,20120924T154200000,87,0.066966,148.242806,,,,,
PP3,3,I,20120924T154300000,91,0.063834,137.837243,,,,,
PP3,3,I,20120924T154400000,999,999,142.870205,,,,,
PP3,3,I,20120924T154500000,999,999,139.520323,,,,,
PP3,3,I,20120924T154600000,999,999,147.965871,,,,,
PP3,3,I,20120924T154700000,999,999,146.471313,,,,,
PP3,3,I,20120924T154800000,999,999,153.643264,,,,,
PP3,3,I,20120924T154900000,999,999,142.664837,,,,,
PP3,3,I,20120924T155000000,999,999,126.100242,,,,,
PP3,3,I,20120924T155100000,999,999,124.130939,,,,,
PP3,3,I,20120924T155200000,999,999,123.730168,,,,,
PP3,3,I,20120924T155300000,999,999,119.521365,,,,,
PP3,3,I,20120924T155400000,999,999,123.195362,,,,,
PP3,3,I,20120924T155500000,999,999,125.064527,,,,,
PP3,3,I,20120924T155600000,999,999,120.172068,,,,,
PP3,3,I,20120924T155700000,999,999,132.173781,,,,,
PP3,3,I,20120924T155800000,89,0.041112,147.473805,,,,,
PP3,3,I,20120924T155900000,92,0.080074,123.751041,,,,,
PP3,3,I,20120924T160000000,98,0.027813,121.907627,,,,,
PP3,3,I,20120924T160100000,98,0.028954,117.697682,,,,,
PP3,3,I,20120924T160200000,100,0.024951,116.107313,,,,,
PP3,3,I,20120924T160300000,999,999,128.240677,,,,,
PP3,3,I,20120924T160400000,96,0.028685,118.92209,,,,,
PP3,3,I,20120924T160500000,94,0.047827,127.763739,,,,,
PP3,3,I,20120924T160600000,96,0.022011,130.218711,,,,,
PP3,3,I,20120924T160700000,94,0.032891,124.66588,,,,,
PP3,3,I,20120924T160800000,999,999,999,,added,,,
PP3,3,I,20120924T160900000,999,999,999,,added,,,
PP3,3,I,20120924T161000000,999,999,999,,added,,,
PP3,3,I,20120924T161100000,999,999,999,,added,,,
PP3,3,I,20120924T161200000,999,999,999,,added,,,
PP4,1,R,20120925T131600000,999,999,79.282754,,,,,
PP4,1,R,20120925T131700000,999,999,78.814417,,,,,
PP4,1,R,20120925T131800000,999,999,82.565515,,,,,
PP4,1,R,20120925T131900000,999,999,87.942532,,,,,
PP4,1,R,20120925T132000000,999,999,94.893202,,,,,
PP4,1,R,20120925T132100000,999,999,91.598948,,,,,
PP4,1,N,20120925T132400000,999,999,83.164665,,,,,
PP4,1,N,20120925T132500000,999,999,71.677806,,,,,
PP4,1,N,20120925T132600000,73,0.05488,74.502883,,,,,
PP4,1,N,20120925T132700000,999,999,77.94891,,,,,
PP4,1,N,20120925T132800000,999,999,91.768509,,,,,
PP4,1,N,20120925T132900000,999,999,107.149633,,,,,
PP4,1,N,20120925T133000000,58,0.093757,119.071484,,,,,
PP4,1,N,20120925T133100000,999,999,121.919811,,,,,
PP4,1,N,20120925T133200000,61,0.093913,101.581516,,,,,
PP4,1,N,20120925T133300000,999,999,93.893556,,,,,
PP4,1,N,20120925T133400000,58,0.085618,99.552278,,,,,
PP4,1,N,20120925T133500000,999,999,100.212274,,,,,
PP4,1,N,20120925T133600000,60,0.06861,95.955522,,,,,
PP4,1,N,20120925T133700000,999,999,97.900131,,,,,
PP4,1,N,20120925T133800000,61,0.082053,105.159992,,,,,
PP4,1,N,20120925T133900000,999,999,106.318441,,,,,
PP4,1,N,20120925T134000000,999,999,101.701502,,,,,
PP4,1,N,20120925T134100000,999,999,107.361149,,,,,
PP4,1,N,20120925T134200000,999,999,117.276147,,,,,
PP4,1,N,20120925T134300000,999,999,117.341252,,,,,
PP4,1,N,20120925T134400000,999,999,118.09982,,,,,
PP4,1,N,20120925T134500000,999,999,136.461824,,,,,
PP4,1,N,20120925T134600000,60,0.091166,138.284236,,,,,
PP4,1,N,20120925T134700000,59,0.091052,126.218662,,,,,
PP4,1,N,20120925T134800000,999,999,138.118336,,,,,
PP4,1,N,20120925T134900000,999,999,118.934548,,,,,
PP4,1,N,20120925T135000000,999,999,116.650425,,,,,
PP4,1,N,20120925T135100000,999,999,136.939632,,,,,
PP4,1,N,20120925T135200000,999,999,134.405349,,,,,
PP4,1,N,20120925T135300000,999,999,145.836291,,,,,
PP4,1,N,20120925T135400000,61,0.097206,143.780545,,,,,
PP4,1,N,20120925T135500000,999,999,128.683416,,,,,
PP4,1,N,20120925T135600000,999,999,127.330193,,,,,
PP4,1,N,20120925T135700000,999,999,131.662054,,,,,
PP4,1,N,20120925T135800000,60,0.103458,131.329206,,,,,
PP4,1,N,20120925T135900000,999,999,122.713004,,,,,
PP4,1,N,20120925T140000000,999,999,126.214926,,,,,
PP4,1,N,20120925T140100000,999,999,128.02428,,,,,
PP4,1,N,20120925T140200000,63,0.080565,125.17915,,,,,
PP4,1,N,20120925T140300000,999,999,105.343705,,,,,
PP4,1,N,20120925T140400000,999,999,124.249977,,,,,
PP4,2,R,20120925T141800000,999,999,744.759921,,,,,
PP4,2,R,20120925T141900000,999,999,822.789682,,,,,
PP4,2,R,20120925T142000000,999,999,874.766262,,,,,
PP4,2,R,20120925T142100000,999,999,906.37872,,,,,
PP4,2,R,20120925T142200000,999,999,951.853156,,,,,
PP4,2,R,20120925T142300000,999,999,984.896474,,,,,
PP4,2,I,20120925T142600000,999,999,682.493951,,,,,
PP4,2,I,20120925T142700000,999,999,739.604577,,,,,
PP4,2,I,20120925T142800000,999,999,804.720317,,,,,
PP4,2,I,20120925T142900000,999,999,868.470759,,,,,
PP4,2,I,20120925T143000000,999,999,873.783983,,,,,
PP4,2,I,20120925T143100000,999,999,752.684706,,,,,
PP4,2,I,20120925T143200000,999,999,740.002108,,,,,
PP4,2,I,20120925T143300000,999,999,801.894886,,,,,
PP4,2,I,20120925T143400000,999,999,863.944368,,,,,
